English	Fulfulde	French
Bark of Sterculia setigera	Laalaaje boɓori	écorces de Sterculia setigera
Bark of Ficus platyphylla	Laaalaaje dundeehi	écorces de Ficus platyphylla
Bark of Sclerocarya birrea	Laalaaje eeri	écorces de Sc/erocarya birrea
Bark of Anogeissus leiocarpus	Laalaaje kojoli	écorces d'Anogeissus leiocarpus
Bark of Ceiba pentandra	Laalaaje bantaahi	écorces de Ceiba pentandra
Dried ginger	Citta-afo joorɗe	gingembre sec
Bark of Boswellia dalzielii	Laalaaje andakeehi	écorces de Boswellia dalzielii
Bark of Khaya senegalensis	Laalaaje ɗaaleehi	écorces de Khaya senegalensis
Bark of Ficus ingens	Laalaaje ceekeehi	écorces de Ficus ingens
Bark of Prosopis africana	Laalaaje kohi	écorces de Prosopis africana
Leaves of Abrus precatorius	Haako belɗamhi	feuilles d'Abrus precatorius
Leaves and twigs of Mollugo nudicaulis	Haako buubelhi	feuilles et brindilles de Mollugo nudicaulis 
Fruits of Combretum aculeatum	Ɓiɓɓe biriiji-jiire	fruits de Combretum aculeatum
Bark of Securidaca longepedunculata	Laalaaje aalali	écorces de Securidaca longepedunculata
Bark of Acacia tortilis	Laalaaje ɓulɓi boɗeehi	écorces d'Acacia tortilis
Leaves of Ficus glumosa	Wiskeeho	feuilles de Ficus glumosa
Leaves of Combretum glutinosum	Ɗoojo	feuilles de Combretum glutinosum
Physalis angulata	Paalelhi	Physalis angulata
Tephrosia bracteolata	Maraguwaahi	Tephrosia bracteolata
Chrysanthellum americanum	Teppel-poola	Chrysanthellum americanum
Stems of Leptadenia hastata	Jaraawol	tiges de Leptadenia hastata
Dichrostachys nutans	Juuta-gi'alhi	Dichrostachys nutans
Leaves of Cenchrus biflorus	Haako hebbere	feuilles de Cenchrus bijlorus
Seeds of Vigna unguiculata	Nyebbe	graines de Vigna unguiculata
Seeds of Vigna unguiculata	Ñebbe	graines de Vigna unguiculata
Leaves of Acacia gerrardii	haako ɓulɓi-ɓaleehi	feuilles d'Acacia gerrardii
Striga hermonthica	Duuli	Striga hermonthica
Snail shell	Hoosooru	coquille d'escargot
Porcupine quills	Gi'e saŋalde	piquants de porc-épic
Skin of Grimm's duiker	Laral hamfurde	peau de céphalophe de Grimm
Beak of a small hornbill	Hunnduko kilikokkoowal	bec de petit calao
Elephant dung	Bu'e nyiiwa	crottin d'éléphant
Elephant dung	Bu'e ñiiwa	crottin d'éléphant
Various amulets	Layaaji	grigris divers
Hedgehog skin	Laral camnagel	peau de hérisson
Powdered products	Leɗɗe namaaɗe	produits en poudre
Goat horns	Luwe njawdi mbaala	cornes de bouc
Skin of a land monitor	Laral huutooru	peau de varan terrestre
Turtle shell	Gumbal huunyaare	carapace de tortue
Turtle shell	Gumbal huuñaare	carapace de tortue
In the cold season morning, one must warm up well before going out.	Fajira dabbunde, sey goɗɗoo aamta booɗɗum lutta wurtaago.	Le matin de saison froide, on doit bien se réchauffer avant de sortir.
The free woman with wide eyes, like iron sifting residues!	Adda-jamɗi, gite kelkel ba ngaajiri jamɗe!	La femme libre aux yeux écarquillés, semblables à des résidus de tamisage de fer! 
The free woman with wide eyes, like iron sifting residues!	Ajabaajo, gite kelkel ba ngaajiri jamɗe!	La femme libre aux yeux écarquillés, semblables à des résidus de tamisage de fer!
Why are you as foolish as a firstborn?	Ko waɗ maa a paataaɗo bana afo? 	Pourquoi es-tu aussi idiot qu'un premier-né?
Most firstborns boast like children raised by their grandparents.	Ɓurnal afɓe fuu ɗon njuri bana ɓikkon maama.	La plupart des premiers-nés fanfaronnent comme des enfants élevé par leurs grands-parents.
She had never had a child before, it was only this year that she had her firstborn.	Koo o jooɗi, o walaa ɓinngel, sey hikka ɗoo o feni afaago.	Elle n'avait encore jamais eu d'enfant, ce n'est que cette année qu'elle a eu son premier-né.
He had never had a child before, it was only this year that he had his firstborn.	Koo o jooɗi, o walaa ɓinngel, sey hikka ɗoo o feni afaago.	Il n'avait encore jamais eu d'enfant, ce n'est que cette année qu'il a eu son premier-né.
Woman about to give birth for the first time	Afotooɗo	femme qui va accoucher pour la première fois
Women about to give birth for the first time	Afotooɓe	femmes qui vont accoucher pour la première fois
I swallowed paracetamol and white tablets for the 'cold', which I bought from street vendors.	Njarmi parasetamol bee kompirme ndamba daneeji ɗi cooɗmi haa aga'en.	J'ai avalé du paracétamol et des comprimés blancs contre le 'rhume', que j'ai achetés chez les vendeurs ambulants.
Many patients come to the hospital with medicines they bought from street vendors.	Nyawɓe ɗuuɗɓe don ngarda lopital bee leɗɗe ɓe coodata haa aga'en. 	De nombreux patients viennent a l'hopital avec des médicaments qu'ils ont achetés chez les vendeurs ambulants. 
They take them, but they are not effective.	Ɓe ɗon njara ɗe, ɗe nafaay. 	Ils les prennent, mais ils ne sont pas efficaces. 
We notice that they only bring problems to the sick.	Sey min ɗon tawa muskilaaji ɗe ngaddanta nyawɓe.	Nous constatons qu'ils n'apportent que des problèmes aux malades.
Me, a street vendor, every box of medicine comes with its leaflet.	Min agaajo, kartoŋ lekki fuu ɗon warda bee notis mum. 	Moi, vendeur ambulant, chaque boîte de médicaments arrive avec sa notice. 
Once I read the leaflet, I know what the medicine is for.	To mi janngi notis, mi heɓtan kuugal lekki man. 	Une fois que je l'ai lue, je sais à quoi sert le médicament en question.
When someone explains to me what hurts them, I know their illness.	To goɗɗo tinndini yam ko naawata mo, mi heɓtan nyawu maako.	Lorsque quelqu'un m'explique ce qui lui fait mal, je sais sa maladie.
Their illness.	Ñawu maako.	Sa maladie.
Then, I give them the remedy.	Suy, mi hokka mo kurgum.	Ensuite, je lui donne le remede.
My little soapberry tree walks a lot; many are those who drop its fruits, few are those who pick them up.	Tannel am ngeel jaajaalel; ɗuuɗa ferooɓe, famɗa suɓtooɓe !	Mon petit savonnier se promène beaucoup; nombreux sont ceux qui en font tomber les fruits, rares sont ceux qui les ramassent.
If you are afraid of having an accident, do not ride a motorcycle taxi.	To a hulan waɗgo aksidaŋ, taa wa'a kilanndo.	Si tu as peur d'avoir un accident, ne monte pas sur une moto-taxi.
The sign of the edible tree exists from the flowers.	Alaama lekki nyaameteeki diga pinndi.	Le signe de l'arbre comestible existe dès les fleurs.
Just by seeing the way he arrives, one knows that he is not a patient person.	Daga yiigo alaama o yottori ɗo, naa ɗum goɗɗo marɗo munyal.	Rien qu'à voir sa façon d'arriver, on sait que ce n'est pas quelqu'un de patient.
Calamities descend according to how people disobey God.	Albalaaji ɗon njippoo foddee no yimɓe ngeddirta Alla.	Les calamités descendent d'après la façon dont les gens désobéissent à Dieu.
The doctor said it was an allergy, either because my body does not tolerate the medicines I took, or because the medicines I took were expired.	Dokter wi'i ɗum alerji, ngam malla ɓanndu am yiɗaa leɗɗe moɗeteeɗe, malla boo leɗɗe ɗe moɗmi ɗee baatɗe.	Le docteur a dit que c'était une allergie, soit que mon corps ne supporte pas les médicaments que j'ai avalés, soit que les médicaments que j'ai avalés étaient périmés.
Having and not having alike, it is God who possesses it.	Woodi bee woodaa fuu Alla mari.	Avoir et ne pas avoir également, c'est Dieu qui le possède.
God gave, God took away, blessed be the name of God!	Jawmiraawo hokki, Jawmiraawo hooci, barka laatanoo innde Jawmiraawo!	Dieu a donné, Dieu a repris, que le nom de Dieu soit béni!
The squirrel says: 'God exists, of course, but it is better that the termite mound is nearby.'	Jiire wi'i: « Alla ɗon boo, ndikka waande ɓadoo ».	L'écureuil dit: « Dieu existe, bien sûr, mais il vaut mieux que la termitière soit à côté ».
He who does not thank God, it is as if he burns his food.	Mo yettataa Alla, nyaama-wulaajo.	Celui qui ne remercie pas Dieu, c'est comme s'il brûlait sa nourriture.
May God clothe you in an onion garment, may He protect you from its bad smell.	Alla suure cuurngal tiŋeere, hisne kacceenga maare.	Que Dieu te revête d'un vêtement de l'oignon, qu'il te protège de sa mauvaise odeur.
If someone spits on the ground after clearing their throat, flies land on it.	To goɗɗo haartake haa lesdi meere, nden buubi njooɗake dow ton.	Si qqn crache par terre après s'être raclé la gorge, des mouches se posent là-dessus.
Then, if they go on someone's food, they will get sick.	Ɓaawo man, ɗi njehi haa nyaamdu innu, o nyawan.	Ensuite, si elles vont sur la nourriture de qqn, il sera malade.
Amoebas, that's what there is in large numbers in the belly.	Amiiɓ, kanjum ɓuri ɗuɗogo nder reedu.	Les amibes, c'est ce qu'il y a en grand nombre dans le ventre.
They pierce the intestine and cause dysentery.	Di cumpitan tetekol, waɗa dizanteri.	Ils percent l'intestin et provoquent la dysenterie.
There are small worms called hookworms.	Woodi ngilkon ɓe mbi'ata ankilostom. 	Il ya des petits vers qu'on appelle ankylostomes.
They are very small, they stick to the intestine and drink the person's blood.	Kon pamaron, kon ɗon takki dow tetekol, njara ii'am innu.	Ils sont tout petits, ils adhèrent à l'intestin et boivent le sang de la personne.